time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	1	lidar	5.031e-31	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.731482	0.626523	4.13454	0.570137	0.982154	radar	19.5839	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.968525	0.609059	4.22181	-0.521661	0.873048	lidar	4.29335	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.09258	0.483598	4.95765	-0.01226	1.24456	radar	8.31158	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.43555	0.523453	5.20543	0.0250921	1.28003	lidar	3.60557	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.70466	0.525603	5.30829	0.0724175	1.28334	radar	0.219709	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.0229	0.57068	5.41134	0.13605	1.33661	lidar	1.96945	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.2402	0.628402	5.26299	0.240467	1.46275	radar	1.57672	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.52657	0.695672	5.31769	0.29122	1.38672	lidar	0.981037	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.80859	0.668199	5.30495	0.182109	0.729469	radar	2.42172	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.05558	0.703941	5.28201	0.198522	0.655431	lidar	0.354492	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.35529	0.563786	5.25818	-0.0266779	-0.137621	radar	7.45315	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.66502	0.507967	5.31499	-0.100149	-0.317802	lidar	4.9405	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.94669	0.585858	5.37043	-0.000918468	-0.0127795	radar	3.07335	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.23105	0.584267	5.39383	-0.00486304	-0.0184292	lidar	0.332384	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.49177	0.623333	5.35421	0.0308832	0.0629495	radar	1.05937	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.68883	0.692605	5.25441	0.0923958	0.179364	lidar	8.5597	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.94612	0.680976	5.20291	0.0716103	0.123326	radar	2.45169	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.25736	0.687569	5.27355	0.0640985	0.10038	lidar	3.74089	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.51568	0.692997	5.2872	0.0609323	0.0854159	radar	1.24625	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.81868	0.708336	5.34023	0.0617983	0.0807064	lidar	2.1956	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06798	0.608758	5.26745	-0.00963949	-0.0396409	radar	7.0025	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33149	0.687423	5.26884	0.0393738	0.0388797	lidar	3.98943	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58233	0.736086	5.22645	0.064432	0.0731406	radar	1.20457	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83331	0.74424	5.21369	0.06323	0.0660742	lidar	0.190504	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.08103	0.721227	5.13608	0.0442976	0.0350237	radar	3.5682	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.30454	0.787857	5.09397	0.0775223	0.0780884	lidar	3.17458	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.59573	0.802137	5.18289	0.0768311	0.0718257	radar	3.86281	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.84685	0.797821	5.17229	0.0678345	0.0551691	lidar	0.450768	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.09891	0.823243	5.11983	0.0744697	0.0600723	radar	2.44932	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33738	0.84284	5.09766	0.0782462	0.061122	lidar	0.421184	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59887	0.972469	5.16835	0.135683	0.131166	radar	10.4545	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83728	1.01917	5.14617	0.148406	0.13915	lidar	0.491672	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12731	1.06077	5.20344	0.154845	0.138091	radar	6.72317	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36456	1.08985	5.17571	0.157023	0.132279	lidar	0.7147	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64095	1.18517	5.227	0.188217	0.163014	radar	5.33722	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91805	1.28741	5.26449	0.220005	0.192581	lidar	2.36233	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1667	1.39675	5.21898	0.255312	0.226336	radar	5.33359	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
